poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite,taux_competences,taux_experience,taux_diplome,taux_langues,poids_competences,poids_experience,poids_diplome,poids_langues
Developpeur Web,Git; PHP; MySQL,Git; HTML/CSS,4,3,Bac,Licence,Anglais (débutant),Français (avancé); Anglais (intermédiaire),50.08,0.3333333333333333,0.75,1.2,1.0,0.7,0.17,0.05,0.08
Social Media Manager,Instagram; Meta Ads; LinkedIn,Facebook; TikTok; LinkedIn; Meta Ads; Instagram; Analytics,2,1,Master,Licence,Français (avancé),Français (courant); Anglais (débutant),95.83,1.0,0.5,0.6666666666666666,1.0,0.83,0.05,0.05,0.07
Developpeur Mobile,Kotlin; Git; Flutter,Flutter; Git; Kotlin; Java,2,3,Bac,Licence,Français (courant),Français (courant); Anglais (débutant),101.2,1.0,1.0,1.2,1.0,0.43,0.2,0.06,0.31
Developpeur Web,JavaScript; MySQL; Laravel; HTML/CSS,HTML/CSS,3,3,Master,Licence,Français (courant); Anglais (débutant),Français (avancé); Anglais (avancé),69.83,0.25,1.0,0.6666666666666666,0.875,0.29,0.37,0.2,0.14
UI/UX Designer,Prototypage; Illustrator; Figma; Adobe XD; Photoshop; UX Research,Adobe XD; Prototypage; Illustrator,4,2,Licence,Master,Anglais (débutant),Français (courant); Anglais (courant),70.9,0.5,0.5,1.2,1.0,0.51,0.12,0.12,0.25
Developpeur Web,Git; JavaScript; Laravel; HTML/CSS; PHP; MySQL,MySQL; PHP; Laravel; JavaScript; Git; HTML/CSS,2,4,Licence,Bac,Anglais (débutant),Français (avancé),71.0,1.0,1.0,0.5,0.0,0.18,0.46,0.14,0.22
Content Manager,Canva; SEO; Copywriting; Content Strategy,Canva; SEO; Content Strategy; Analytics; WordPress,1,6,Bac,Licence,Français (intermédiaire),Français (intermédiaire); Anglais (courant),81.1,0.75,1.0,1.2,1.0,0.82,0.05,0.08,0.05
Social Media Manager,TikTok; Analytics; LinkedIn; Instagram; Facebook,LinkedIn; Facebook,4,1,Licence,Master,Anglais (intermédiaire),Français (courant); Anglais (débutant),51.0,0.4,0.25,1.2,0.5,0.66,0.06,0.13,0.15
Content Manager,Copywriting; SEO; Content Strategy; Canva; WordPress; Analytics,Analytics; Canva; Content Strategy; WordPress; SEO; Meta Ads; Instagram,2,1,Licence,Master,Anglais (avancé); Français (courant),Français (avancé),82.66,0.8333333333333334,0.5,1.2,0.375,0.49,0.1,0.26,0.15
Developpeur Web,HTML/CSS; PHP; JavaScript,Laravel; PHP; HTML/CSS; MySQL; Git,4,4,Bac,Master,Français (avancé),Français (intermédiaire),88.0,0.6666666666666666,1.0,1.2,0.6666666666666666,0.37,0.32,0.2,0.11
Chef de projet digital,Agile; Communication; ClickUp; Gestion de projet; Asana; Scrum,Aucune information,3,3,Bac,Bac,Français (avancé); Anglais (courant),Français (intermédiaire); Anglais (courant),59.5,0.0,1.0,1.0,0.8333333333333333,0.38,0.17,0.3,0.15
Social Media Manager,LinkedIn; Facebook; TikTok; Instagram; Analytics,Facebook; Analytics; Meta Ads; Instagram; TikTok,2,3,Master,Bac,Anglais (débutant),Français (avancé); Anglais (débutant),87.53,0.8,1.0,0.3333333333333333,1.0,0.39,0.34,0.07,0.2
Chef de projet digital,Communication; Asana; Agile; Gestion de projet; ClickUp; Scrum,Aucune information,2,4,Master,Master,Anglais (intermédiaire); Français (intermédiaire),Français (avancé); Anglais (courant),24.0,0.0,1.0,1.0,1.0,0.76,0.14,0.05,0.05
Social Media Manager,Instagram; Meta Ads; Analytics,LinkedIn; Meta Ads; TikTok; Instagram,4,1,Bac,Master,Français (courant); Anglais (débutant),Français (courant),57.85,0.6666666666666666,0.25,1.2,0.5,0.33,0.41,0.18,0.08
Social Media Manager,Facebook; LinkedIn; Instagram,TikTok; LinkedIn; Meta Ads; Facebook; Instagram,1,3,Licence,Licence,Anglais (avancé); Français (avancé),Français (intermédiaire); Anglais (intermédiaire),97.0,1.0,1.0,1.0,0.6666666666666666,0.38,0.48,0.05,0.09
SEO/SEA,Keyword Research; Google Analytics; Google Ads,Search Console; Google Ads; SEM; Keyword Research; Google Analytics,1,2,Bac,Licence,Français (courant); Anglais (avancé),Français (courant); Anglais (débutant),101.73,1.0,1.0,1.2,0.6666666666666666,0.58,0.12,0.22,0.08
UI/UX Designer,Adobe XD; Illustrator; Prototypage,Prototypage; Figma,4,6,Bac,Licence,Français (intermédiaire),Français (avancé),68.8,0.3333333333333333,1.0,1.2,1.0,0.54,0.13,0.24,0.09
SEO/SEA,SEO; Keyword Research; Google Ads; Google Analytics; Search Console; SEM,Google Ads; SEO; Search Console,2,3,Bac,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),91.7,0.5,1.0,1.2,1.0,0.21,0.26,0.11,0.42
Community Manager,Analytics; Canva; Instagram; Copywriting,Copywriting; Canva,1,2,Bac,Licence,Français (courant); Anglais (débutant),Français (intermédiaire); Anglais (courant),78.75,0.5,1.0,1.2,0.75,0.41,0.47,0.05,0.07
Community Manager,Copywriting; Instagram; Canva; Analytics; Facebook,Canva; TikTok,4,3,Licence,Licence,Anglais (avancé); Français (courant),Français (courant); Anglais (débutant),36.78,0.2,0.75,1.0,0.6666666666666666,0.71,0.19,0.05,0.05
Content Manager,Analytics; Content Strategy; WordPress; Copywriting,Copywriting; WordPress; Canva; Analytics; SEO; Content Strategy,4,1,Master,Licence,Anglais (débutant),Français (avancé),55.33,1.0,0.25,0.6666666666666666,0.0,0.4,0.48,0.05,0.07
SEO/SEA,SEM; Keyword Research; Search Console,Keyword Research; Search Console; SEO; SEM; Google Analytics,4,2,Master,Bac,Français (courant); Anglais (courant),Français (intermédiaire); Anglais (courant),65.83,1.0,0.5,0.3333333333333333,0.75,0.33,0.48,0.13,0.06
SEO/SEA,SEM; SEO; Keyword Research; Search Console; Google Ads,SEM; Search Console,2,4,Master,Master,Anglais (courant),Français (courant); Anglais (intermédiaire),78.7,0.4,1.0,1.0,0.5,0.08,0.42,0.17,0.33
Chef de projet digital,Asana; ClickUp; Agile,Asana; ClickUp,1,8,Master,Licence,Anglais (courant),Français (courant); Anglais (avancé),80.5,0.6666666666666666,1.0,0.6666666666666666,0.75,0.49,0.4,0.05,0.06
Chef de projet digital,Agile; Asana; Communication; Gestion de projet; ClickUp,Scrum; Gestion de projet; Communication; Asana; Agile,1,6,Licence,Licence,Français (courant),Français (courant); Anglais (avancé),86.4,0.8,1.0,1.0,1.0,0.68,0.18,0.05,0.09
UI/UX Designer,UX Research; Illustrator; Prototypage; Figma,Adobe XD; UX Research; Photoshop; Illustrator; Figma,2,6,Licence,Master,Anglais (courant); Français (avancé),Français (intermédiaire); Anglais (avancé),91.32,0.75,1.0,1.2,0.7083333333333333,0.3,0.12,0.32,0.26
Chef de projet digital,Asana; ClickUp; Communication,ClickUp; Gestion de projet; Power BI; Canva,4,4,Master,Master,Français (courant); Anglais (avancé),Français (courant); Anglais (intermédiaire),46.17,0.3333333333333333,1.0,1.0,0.8333333333333333,0.79,0.06,0.08,0.07
Developpeur Mobile,Firebase; Flutter; Dart; Git,Git; Kotlin; Dart; Java,2,5,Master,Master,Anglais (avancé); Français (intermédiaire),Français (intermédiaire),67.0,0.5,1.0,1.0,0.5,0.52,0.23,0.11,0.14
UI/UX Designer,Photoshop; Adobe XD; Prototypage; Illustrator; UX Research; Figma,Illustrator; Prototypage; UX Research; Adobe XD; Photoshop; Figma,3,3,Bac,Licence,Français (intermédiaire); Anglais (avancé),Français (avancé); Anglais (débutant),99.07,1.0,1.0,1.2,0.6666666666666666,0.81,0.05,0.07,0.07
Graphiste,Photoshop; InDesign; Illustrator; Branding; Canva,Photoshop; InDesign; Branding; Canva,2,0,Licence,Master,Français (courant),Français (courant),77.6,0.8,0.0,1.2,1.0,0.06,0.32,0.54,0.08
Graphiste,Photoshop; Illustrator; InDesign; Typographie; Branding; Canva,Illustrator; Typographie; InDesign; Canva; Branding; Photoshop,3,6,Bac,Bac,Français (intermédiaire),Français (courant),100.0,1.0,1.0,1.0,1.0,0.79,0.05,0.05,0.11
Developpeur Web,JavaScript; MySQL; Laravel; Git; HTML/CSS,Git; PHP; MySQL; HTML/CSS; JavaScript; Laravel; TikTok; Analytics,3,1,Master,Master,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (intermédiaire),58.83,1.0,0.3333333333333333,1.0,0.5833333333333333,0.05,0.53,0.28,0.14
Community Manager,Canva; Analytics; Facebook; TikTok; Copywriting; Instagram,Copywriting; Facebook,3,6,Master,Master,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (avancé),61.33,0.3333333333333333,1.0,1.0,1.0,0.58,0.21,0.1,0.11
Social Media Manager,Meta Ads; LinkedIn; Instagram,TikTok; Analytics; Instagram; Meta Ads; LinkedIn; Facebook,4,6,Bac,Bac,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (courant),100.0,1.0,1.0,1.0,1.0,0.82,0.07,0.05,0.06
Developpeur Mobile,Git; Kotlin; Flutter; Dart,Firebase; Branding,2,0,Master,Licence,Anglais (avancé),Français (intermédiaire),6.67,0.0,0.0,0.6666666666666666,0.0,0.33,0.45,0.1,0.12
SEO/SEA,Search Console; Google Ads; SEM; Google Analytics; SEO,Aucune information,1,4,Bac,Master,Anglais (intermédiaire),Français (avancé); Anglais (débutant),14.0,0.0,1.0,1.2,0.5,0.84,0.05,0.05,0.06
Social Media Manager,LinkedIn; Instagram; Analytics,Aucune information,1,2,Bac,Bac,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (débutant),35.5,0.0,1.0,1.0,0.75,0.63,0.23,0.08,0.06
UI/UX Designer,Prototypage; UX Research; Figma,Prototypage; Illustrator; Adobe XD,2,1,Licence,Bac,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (avancé),50.5,0.3333333333333333,0.5,0.5,1.0,0.33,0.24,0.31,0.12
SEO/SEA,Google Ads; Search Console; Google Analytics; SEM; SEO,Keyword Research,2,1,Master,Master,Français (intermédiaire); Anglais (courant),Français (avancé); Anglais (courant),65.0,0.0,0.5,1.0,1.0,0.15,0.4,0.38,0.07
Graphiste,Canva; Photoshop; Illustrator; Typographie; Branding; InDesign,Branding; Canva; InDesign; Typographie; Photoshop; Illustrator,3,6,Licence,Bac,Français (courant),Français (avancé),91.25,1.0,1.0,0.5,0.75,0.52,0.24,0.11,0.13
Developpeur Mobile,Firebase; Dart; Flutter,Git; Flutter; Dart; Kotlin; Java,1,4,Licence,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (courant),69.83,0.6666666666666666,1.0,0.5,0.5,0.44,0.25,0.2,0.11
Social Media Manager,Meta Ads; Facebook; TikTok; LinkedIn; Instagram; Analytics,Aucune information,1,4,Bac,Bac,Anglais (intermédiaire),Français (intermédiaire); Anglais (courant),29.0,0.0,1.0,1.0,1.0,0.71,0.12,0.12,0.05
Developpeur Web,HTML/CSS; PHP; Laravel; Git,HTML/CSS,3,2,Master,Master,Français (courant); Anglais (avancé),Français (avancé),50.96,0.25,0.6666666666666666,1.0,0.375,0.36,0.23,0.18,0.23
SEO/SEA,Keyword Research; SEO; Google Analytics; SEM; Search Console,Keyword Research; Google Ads; Google Analytics; SEO; Search Console; SEM,4,5,Licence,Master,Français (intermédiaire); Anglais (courant),Français (avancé); Anglais (intermédiaire),100.7,1.0,1.0,1.2,0.75,0.6,0.05,0.21,0.14
Developpeur Web,Laravel; PHP; Git,PHP; JavaScript; Git; HTML/CSS; Laravel; MySQL,3,5,Licence,Licence,Français (courant),Français (intermédiaire); Anglais (courant),89.5,1.0,1.0,1.0,0.5,0.23,0.51,0.05,0.21
Social Media Manager,Meta Ads; Facebook; Instagram,Aucune information,2,6,Master,Licence,Anglais (débutant),Français (courant),51.33,0.0,1.0,0.6666666666666666,0.0,0.42,0.48,0.05,0.05
Developpeur Mobile,Flutter; Firebase; Dart; Git; Java; Kotlin,Flutter,4,0,Licence,Bac,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (intermédiaire),26.33,0.16666666666666666,0.0,0.5,0.8333333333333333,0.17,0.48,0.17,0.18
Developpeur Web,HTML/CSS; MySQL; PHP; Git; JavaScript; Laravel,Aucune information,4,6,Bac,Master,Anglais (débutant),Français (avancé); Anglais (débutant),78.8,0.0,1.0,1.2,1.0,0.28,0.27,0.34,0.11
Developpeur Mobile,Java; Dart; Git,Dart; Kotlin; Firebase; Java; Git,1,3,Master,Master,Anglais (débutant),Français (courant),94.0,1.0,1.0,1.0,0.0,0.31,0.45,0.18,0.06
Chef de projet digital,Scrum; Agile; Communication; Gestion de projet; Asana,Asana; ClickUp; Agile,2,3,Bac,Licence,Anglais (avancé),Français (courant); Anglais (courant),80.6,0.4,1.0,1.2,1.0,0.35,0.23,0.08,0.34
Developpeur Mobile,Dart; Firebase; Flutter,Dart; Firebase; Git; Java; Flutter,2,2,Licence,Bac,Français (intermédiaire),Français (intermédiaire); Anglais (débutant),96.5,1.0,1.0,0.5,1.0,0.71,0.14,0.07,0.08
Chef de projet digital,Agile; ClickUp; Communication; Gestion de projet,Scrum,1,5,Bac,Master,Français (intermédiaire),Français (courant); Anglais (courant),35.4,0.0,1.0,1.2,1.0,0.66,0.22,0.07,0.05
Content Manager,WordPress; Analytics; Content Strategy; Canva; SEO,WordPress; SEO; Canva,2,3,Bac,Licence,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),77.6,0.6,1.0,1.2,1.0,0.59,0.26,0.06,0.09
Social Media Manager,Instagram; TikTok; Meta Ads; Analytics,LinkedIn; Meta Ads; Analytics; Facebook,2,1,Bac,Licence,Anglais (avancé),Français (courant); Anglais (débutant),50.67,0.5,0.5,1.2,0.3333333333333333,0.52,0.26,0.05,0.17
Data Analyst,Power BI; Excel; Data Visualization,Python,4,3,Licence,Bac,Anglais (intermédiaire); Français (avancé),Français (intermédiaire),23.25,0.0,0.75,0.5,0.3333333333333333,0.59,0.17,0.15,0.09
Chef de projet digital,Gestion de projet; Scrum; Communication; Agile; Asana,ClickUp; Asana; Scrum; Agile; Canva,2,5,Licence,Master,Français (intermédiaire),Français (avancé); Anglais (courant),78.2,0.6,1.0,1.2,1.0,0.57,0.29,0.05,0.09
Content Manager,Content Strategy; SEO; Canva; Copywriting,Aucune information,3,0,Bac,Master,Français (intermédiaire); Anglais (débutant),Français (courant); Anglais (courant),30.0,0.0,0.0,1.2,1.0,0.31,0.4,0.05,0.24
Content Manager,SEO; Copywriting; Analytics; Canva,WordPress; Content Strategy; Copywriting; Analytics; SEO; Canva,1,2,Bac,Licence,Français (courant),Français (avancé); Anglais (intermédiaire),101.7,1.0,1.0,1.2,0.75,0.49,0.29,0.16,0.06
SEO/SEA,Search Console; Google Analytics; Google Ads; Keyword Research; SEM; SEO,Search Console; Agile; Instagram,2,6,Licence,Master,Anglais (intermédiaire); Français (courant),Français (courant); Anglais (débutant),84.05,0.16666666666666666,1.0,1.2,0.75,0.21,0.51,0.19,0.09
Content Manager,Analytics; Content Strategy; WordPress; SEO,Copywriting; SEO,2,0,Licence,Master,Français (intermédiaire),Français (intermédiaire),58.0,0.25,0.0,1.2,1.0,0.4,0.16,0.2,0.24
Developpeur Web,Laravel; HTML/CSS; PHP; JavaScript; MySQL,Git; HTML/CSS; Laravel,1,3,Master,Licence,Français (avancé),Français (intermédiaire); Anglais (avancé),83.4,0.4,1.0,0.6666666666666666,0.6666666666666666,0.16,0.63,0.05,0.16
Chef de projet digital,Scrum; ClickUp; Agile; Gestion de projet,Aucune information,3,6,Bac,Bac,Anglais (courant); Français (intermédiaire),Français (courant),45.0,0.0,1.0,1.0,0.5,0.51,0.28,0.13,0.08
Developpeur Mobile,Java; Kotlin; Git; Firebase; Flutter,Flutter,4,1,Master,Licence,Anglais (avancé),Français (intermédiaire),27.57,0.2,0.25,0.6666666666666666,0.0,0.42,0.34,0.16,0.08
Community Manager,Instagram; Facebook; Copywriting; Analytics; TikTok,Aucune information,2,5,Bac,Master,Français (avancé); Anglais (débutant),Français (avancé); Anglais (courant),71.0,0.0,1.0,1.2,1.0,0.32,0.45,0.15,0.08
Developpeur Web,Laravel; MySQL; PHP; HTML/CSS,MySQL; PHP; Git; JavaScript; Laravel,1,2,Licence,Bac,Anglais (avancé); Français (avancé),Français (avancé); Anglais (courant),77.75,0.75,1.0,0.5,1.0,0.27,0.2,0.31,0.22
Chef de projet digital,Scrum; Asana; Agile; ClickUp; Gestion de projet,Agile; ClickUp; Gestion de projet; Asana,1,7,Master,Master,Anglais (intermédiaire); Français (intermédiaire),Français (courant),81.0,0.8,1.0,1.0,0.5,0.8,0.07,0.07,0.06
Developpeur Mobile,Kotlin; Flutter; Dart; Java; Git; Firebase,Aucune information,2,5,Bac,Licence,Français (intermédiaire),Français (courant); Anglais (avancé),42.0,0.0,1.0,1.2,1.0,0.61,0.11,0.15,0.13
Content Manager,Copywriting; WordPress; Content Strategy; SEO; Analytics,Aucune information,3,1,Licence,Master,Français (intermédiaire); Anglais (intermédiaire),Français (courant); Anglais (courant),50.2,0.0,0.3333333333333333,1.2,1.0,0.32,0.33,0.21,0.14
Developpeur Mobile,Firebase; Java; Kotlin,Illustrator,4,4,Licence,Master,Anglais (intermédiaire); Français (avancé),Français (intermédiaire),25.47,0.0,1.0,1.2,0.3333333333333333,0.69,0.11,0.09,0.11
SEO/SEA,Search Console; Google Ads; SEO; Google Analytics; Keyword Research,Google Analytics; Search Console; Keyword Research; Google Ads; SEO; SEM; Copywriting,3,6,Licence,Licence,Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),100.0,1.0,1.0,1.0,1.0,0.22,0.09,0.1,0.59
Developpeur Mobile,Git; Dart; Kotlin; Firebase,Aucune information,4,4,Master,Licence,Français (courant); Anglais (intermédiaire),Français (avancé); Anglais (débutant),25.79,0.0,1.0,0.6666666666666666,0.625,0.69,0.16,0.1,0.05
Content Manager,SEO; Analytics; Content Strategy,Aucune information,1,5,Bac,Bac,Anglais (courant),Français (intermédiaire); Anglais (avancé),22.75,0.0,1.0,1.0,0.75,0.75,0.06,0.1,0.09
SEO/SEA,Search Console; SEO; Google Ads,Keyword Research; Google Analytics; Search Console; SEO,3,2,Licence,Master,Français (courant); Anglais (débutant),Français (avancé),67.82,0.6666666666666666,0.6666666666666666,1.2,0.375,0.73,0.14,0.06,0.07
Developpeur Web,PHP; Laravel; JavaScript; HTML/CSS; MySQL; Git,Laravel; HTML/CSS; PHP; Canva; Instagram,3,5,Master,Master,Français (avancé); Anglais (avancé),Français (avancé); Anglais (intermédiaire),59.5,0.5,1.0,1.0,0.8333333333333333,0.77,0.06,0.05,0.12
SEO/SEA,SEM; Google Analytics; Google Ads; Search Console; Keyword Research,Search Console; Google Analytics; Keyword Research; Google Ads,4,3,Master,Bac,Français (courant),Français (avancé); Anglais (débutant),75.67,0.8,0.75,0.3333333333333333,0.75,0.8,0.06,0.08,0.06
Social Media Manager,TikTok; Analytics; Instagram; Facebook; Meta Ads,Facebook; LinkedIn; TikTok; Instagram; Meta Ads,1,5,Master,Bac,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (intermédiaire),82.47,0.8,1.0,0.3333333333333333,1.0,0.71,0.09,0.05,0.15
Graphiste,Typographie; Illustrator; Canva; InDesign; Branding,Aucune information,3,5,Bac,Licence,Français (avancé),Français (avancé),77.6,0.0,1.0,1.2,1.0,0.25,0.55,0.13,0.07
UI/UX Designer,UX Research; Figma; Adobe XD; Illustrator; Prototypage,Photoshop; Illustrator; Figma; Adobe XD; Scrum; ClickUp,3,0,Licence,Licence,Anglais (débutant); Français (courant),Français (avancé),43.25,0.6,0.0,1.0,0.375,0.35,0.39,0.2,0.06
SEO/SEA,SEM; SEO; Google Ads; Keyword Research; Google Analytics,Search Console; Google Ads; SEO; Keyword Research; Google Analytics; SEM,3,0,Licence,Bac,Français (intermédiaire); Anglais (débutant),Français (avancé); Anglais (intermédiaire),27.5,1.0,0.0,0.5,1.0,0.11,0.67,0.11,0.11
UI/UX Designer,Illustrator; Figma; Adobe XD; Photoshop,Illustrator; Figma; Prototypage,4,5,Master,Licence,Anglais (avancé); Français (avancé),Français (intermédiaire),69.83,0.5,1.0,0.6666666666666666,0.3333333333333333,0.41,0.41,0.07,0.11
Data Analyst,Python; Data Visualization; SQL; Pandas,Pandas; Data Visualization; Excel,3,4,Licence,Licence,Français (avancé),Français (courant); Anglais (intermédiaire),70.5,0.5,1.0,1.0,1.0,0.59,0.21,0.1,0.1
Data Analyst,Power BI; SQL; Excel; Pandas; Data Visualization,Data Visualization,2,3,Bac,Master,Français (intermédiaire); Anglais (intermédiaire),Français (courant); Anglais (courant),34.6,0.2,1.0,1.2,1.0,0.83,0.07,0.05,0.05
Developpeur Mobile,Kotlin; Flutter; Git; Firebase; Dart,Flutter; Kotlin; Java; Dart; Firebase,1,4,Master,Licence,Français (intermédiaire),Français (avancé); Anglais (courant),90.8,0.8,1.0,0.6666666666666666,1.0,0.26,0.45,0.12,0.17
Developpeur Web,Git; PHP; MySQL; HTML/CSS; JavaScript,Aucune information,4,3,Bac,Bac,Anglais (avancé),Français (avancé); Anglais (courant),73.5,0.0,0.75,1.0,1.0,0.18,0.34,0.29,0.19
